Size,TestCase,Algorithm,Cost,TimeMs
40,11,Greedy,671,0
40,11,2-Opt,520,0
40,11,SA,518,38
40,11,GA,636,21
40,11,ACO,520,188
40,11,SeedDNA_N,516,7
40,11,SeedDNA_2N,516,8
40,11,SeedDNA_3N,516,4
40,11,SeedDNA_6N,516,5
40,11,SeedDNA_9N,516,8
40,12,Greedy,641,0
40,12,2-Opt,580,0
40,12,SA,523,32
40,12,GA,683,18
40,12,ACO,513,177
40,12,SeedDNA_N,503,4
40,12,SeedDNA_2N,503,5
40,12,SeedDNA_3N,503,4
40,12,SeedDNA_6N,503,5
40,12,SeedDNA_9N,503,9
50,1,Greedy,634,0
50,1,2-Opt,566,0
50,1,SA,584,34
50,1,GA,652,24
50,1,ACO,561,274
50,1,SeedDNA_N,560,10
50,1,SeedDNA_2N,560,7
50,1,SeedDNA_3N,560,7
50,1,SeedDNA_6N,560,9
50,1,SeedDNA_9N,560,13
50,2,Greedy,741,0
50,2,2-Opt,664,0
50,2,SA,632,34
50,2,GA,830,29
50,2,ACO,652,266
50,2,SeedDNA_N,637,7
50,2,SeedDNA_2N,637,11
50,2,SeedDNA_3N,637,10
50,2,SeedDNA_6N,637,9
50,2,SeedDNA_9N,637,14
50,3,Greedy,690,0
50,3,2-Opt,576,0
50,3,SA,565,34
50,3,GA,688,26
50,3,ACO,577,273
50,3,SeedDNA_N,567,9
50,3,SeedDNA_2N,567,10
50,3,SeedDNA_3N,567,8
50,3,SeedDNA_6N,567,9
50,3,SeedDNA_9N,567,13
50,4,Greedy,604,0
50,4,2-Opt,539,0
50,4,SA,522,36
50,4,GA,621,23
50,4,ACO,533,264
50,4,SeedDNA_N,516,7
50,4,SeedDNA_2N,516,8
50,4,SeedDNA_3N,516,7
50,4,SeedDNA_6N,516,9
50,4,SeedDNA_9N,516,15
50,5,Greedy,655,0
50,5,2-Opt,580,0
50,5,SA,550,33
50,5,GA,746,24
50,5,ACO,557,267
50,5,SeedDNA_N,548,7
50,5,SeedDNA_2N,548,4
50,5,SeedDNA_3N,548,8
50,5,SeedDNA_6N,548,8
50,5,SeedDNA_9N,548,14
50,6,Greedy,647,0
50,6,2-Opt,619,0
50,6,SA,580,35
50,6,GA,793,23
50,6,ACO,582,278
50,6,SeedDNA_N,570,10
50,6,SeedDNA_2N,570,11
50,6,SeedDNA_3N,570,10
50,6,SeedDNA_6N,570,16
50,6,SeedDNA_9N,570,16
50,7,Greedy,801,0
50,7,2-Opt,610,0
50,7,SA,584,40
50,7,GA,748,23
50,7,ACO,582,269
50,7,SeedDNA_N,580,8
50,7,SeedDNA_2N,580,9
50,7,SeedDNA_3N,580,8
50,7,SeedDNA_6N,580,9
50,7,SeedDNA_9N,580,13
50,8,Greedy,689,0
50,8,2-Opt,623,0
50,8,SA,609,36
50,8,GA,700,24
50,8,ACO,601,303
50,8,SeedDNA_N,681,9
50,8,SeedDNA_2N,603,11
50,8,SeedDNA_3N,603,8
50,8,SeedDNA_6N,603,10
50,8,SeedDNA_9N,603,15
50,9,Greedy,679,0
50,9,2-Opt,534,0
50,9,SA,561,46
50,9,GA,629,28
50,9,ACO,545,284
50,9,SeedDNA_N,682,11
50,9,SeedDNA_2N,534,8
50,9,SeedDNA_3N,534,11
50,9,SeedDNA_6N,534,10
50,9,SeedDNA_9N,534,13
50,10,Greedy,698,0
50,10,2-Opt,602,0
50,10,SA,580,35
50,10,GA,687,23
50,10,ACO,606,270
50,10,SeedDNA_N,581,7
50,10,SeedDNA_2N,581,7
50,10,SeedDNA_3N,581,10
50,10,SeedDNA_6N,581,7
50,10,SeedDNA_9N,581,14
50,11,Greedy,688,0
50,11,2-Opt,576,0
50,11,SA,564,42
50,11,GA,658,25
50,11,ACO,561,275
50,11,SeedDNA_N,543,7
50,11,SeedDNA_2N,543,9
50,11,SeedDNA_3N,543,13
50,11,SeedDNA_6N,543,15
50,11,SeedDNA_9N,543,15
50,12,Greedy,716,0
50,12,2-Opt,518,0
50,12,SA,519,47
50,12,GA,728,28
50,12,ACO,529,293
50,12,SeedDNA_N,519,6
50,12,SeedDNA_2N,518,3
50,12,SeedDNA_3N,518,8
50,12,SeedDNA_6N,518,12
50,12,SeedDNA_9N,518,15
60,1,Greedy,773,0
60,1,2-Opt,675,0
60,1,SA,609,44
60,1,GA,841,29
60,1,ACO,632,389
60,1,SeedDNA_N,621,13
60,1,SeedDNA_2N,627,14
60,1,SeedDNA_3N,627,12
60,1,SeedDNA_6N,627,14
60,1,SeedDNA_9N,627,22
60,2,Greedy,771,0
60,2,2-Opt,615,0
60,2,SA,595,50
60,2,GA,791,32
60,2,ACO,617,402
60,2,SeedDNA_N,589,9
60,2,SeedDNA_2N,589,14
60,2,SeedDNA_3N,589,15
60,2,SeedDNA_6N,589,24
60,2,SeedDNA_9N,589,23
60,3,Greedy,742,0
60,3,2-Opt,685,0
60,3,SA,666,45
60,3,GA,922,31
60,3,ACO,684,393
60,3,SeedDNA_N,662,20
60,3,SeedDNA_2N,662,16
60,3,SeedDNA_3N,662,19
60,3,SeedDNA_6N,662,22
60,3,SeedDNA_9N,662,26
60,4,Greedy,729,0
60,4,2-Opt,666,0
60,4,SA,642,53
60,4,GA,880,34
60,4,ACO,655,419
60,4,SeedDNA_N,665,9
60,4,SeedDNA_2N,665,14
60,4,SeedDNA_3N,665,16
60,4,SeedDNA_6N,665,14
60,4,SeedDNA_9N,665,24
60,5,Greedy,760,0
60,5,2-Opt,693,0
60,5,SA,638,51
60,5,GA,984,32
60,5,ACO,673,420
60,5,SeedDNA_N,631,13
60,5,SeedDNA_2N,631,15
60,5,SeedDNA_3N,631,19
60,5,SeedDNA_6N,631,15
60,5,SeedDNA_9N,631,20
60,6,Greedy,807,0
60,6,2-Opt,650,0
60,6,SA,618,52
60,6,GA,892,31
60,6,ACO,627,391
60,6,SeedDNA_N,639,13
60,6,SeedDNA_2N,613,13
60,6,SeedDNA_3N,613,14
60,6,SeedDNA_6N,613,14
60,6,SeedDNA_9N,613,23
60,7,Greedy,793,0
60,7,2-Opt,666,0
60,7,SA,651,45
60,7,GA,973,30
60,7,ACO,659,394
60,7,SeedDNA_N,641,13
60,7,SeedDNA_2N,641,12
60,7,SeedDNA_3N,641,11
60,7,SeedDNA_6N,641,15
60,7,SeedDNA_9N,641,21
60,8,Greedy,836,0
60,8,2-Opt,722,0
60,8,SA,696,40
60,8,GA,1025,30
60,8,ACO,703,419
60,8,SeedDNA_N,689,11
